NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
1850000,LinkedList,11.35,61.84,94.59,93.4,62.67,0.05
1850000,Vector,20.04,1025.37,32.95,32.05,0.02,1027.01
1850000,Vector_Initialized,13.32,991.43,29.12,29.99,0.02,1010.53

1900000,ArrayList,130.99,1044.38,31.34,34.01,0.01,1035.88
1900000,ArrayList_Initialized,9.04,1036.96,31.21,30.56,0.01,996.87
1900000,LinkedList,4.88,63.93,94.43,93.66,62.14,0.05
1900000,Vector,9.73,1020.35,28.94,30.95,0.02,1040.42
1900000,Vector_Initialized,8.22,1016.81,32.14,30.96,0.02,1012.53

1950000,ArrayList,14.62,1009.82,31.93,32.11,0.01,1047.06
1950000,ArrayList_Initialized,13.63,1068.02,33.25,30.43,0.01,1039.57
1950000,LinkedList,14.29,63.74,94.44,94.94,61.28,0.05
1950000,Vector,21.39,1040.29,31.98,32.68,0.02,1049.28
1950000,Vector_Initialized,18.3,1069.33,33.7,33.56,0.02,1029.49

2000000,ArrayList,21.67,1413.26,31.66,32.56,0.01,1370.52
2000000,ArrayList_Initialized,18.35,1022.43,30.48,30.63,0.01,1056.9
2000000,LinkedList,16.11,64.71,100.87,99.8,63.89,0.05
2000000,Vector,24.59,1034.97,31.33,31.43,0.03,1041.01
2000000,Vector_Initialized,20.96,1032.33,34.71,34.45,0.02,1048.12

2050000,ArrayList,11.88,1005.51,29.91,29.99,0.01,1028.11
2050000,ArrayList_Initialized,11.7,1021.1,31.45,33.01,0.01,1007.48
2050000,LinkedList,10.49,62.33,92.86,98.4,62.07,0.05
2050000,Vector,13.47,997.3,29.09,29.87,0.05,1008.11
2050000,Vector_Initialized,13.97,1038.28,32.65,32.23,0.04,1037.4

2100000,ArrayList,19.3,1038.04,29.88,28.91,0.01,1070.28
2100000,ArrayList_Initialized,14.31,1033.4,30.36,30.17,0.01,1030.53
2100000,LinkedList,11.97,63.01,95.37,92.58,61.87,0.05
2100000,Vector,13.93,1031.14,33.82,32.26,0.02,1034.43
2100000,Vector_Initialized,14.78,1010.23,32.23,31.93,0.02,1005.63

2150000,ArrayList,23.01,1043.71,30.11,29.91,0.01,1070.35
2150000,ArrayList_Initialized,15.33,1036.13,30.51,30.1,0.01,1038.16
2150000,LinkedList,14.2,62.03,95.43,92.99,61.49,0.05
2150000,Vector,17.62,1035.73,33.74,30.1,0.03,1026.09
2150000,Vector_Initialized,17.73,1016.38,31.05,32.43,0.02,1055.76

2200000,ArrayList,25.38,1013.87,29.74,29.59,0.01,1005.98
2200000,ArrayList_Initialized,18.9,997.2,30.65,28.56,0.01,1009.32
2200000,LinkedList,17.79,62.1,95.28,93.43,60.92,0.05
2200000,Vector,25.83,1005.33,31.34,31.72,0.02,1035.42
2200000,Vector_Initialized,21.91,1021.22,30.81,31.42,0.02,1051.08

2250000,ArrayList,15.51,1033.75,31.37,29.41,0.01,1014.93
2250000,ArrayList_Initialized,12.27,1001.26,29.55,29.23,0.01,992.19
2250000,LinkedList,8.8,63.31,91.78,94.0,62.89,0.05
2250000,Vector,16.34,1036.95,33.04,31.21,0.02,1049.79
2250000,Vector_Initialized,11.19,1046.05,32.65,31.58,0.02,1044.83

2300000,ArrayList,18.28,1044.29,29.79,30.14,0.01,1005.31
2300000,ArrayList_Initialized,13.37,1024.39,34.92,31.19,0.01,1045.6
2300000,LinkedList,13.45,62.16,94.4,97.33,62.26,0.05
2300000,Vector,16.87,1036.43,33.56,32.21,0.02,1035.65
2300000,Vector_Initialized,14.51,1012.35,30.92,30.29,0.02,1022.47

2350000,ArrayList,17.11,1027.29,31.86,30.6,0.01,1015.28
2350000,ArrayList_Initialized,15.76,1038.56,29.25,28.46,0.01,1044.39
2350000,LinkedList,16.81,63.8,92.96,94.0,61.56,0.03
2350000,Vector,24.42,1018.16,33.17,34.76,0.02,1057.53
2350000,Vector_Initialized,20.02,1029.0,30.1,30.56,0.02,1090.07

2400000,ArrayList,14.12,1084.84,30.97,32.26,0.01,1045.01
2400000,ArrayList_Initialized,11.52,1036.12,30.4,31.19,0.01,1075.19
2400000,LinkedList,8.16,71.05,102.23,102.11,66.87,0.04
2400000,Vector,15.12,1089.98,33.06,32.73,0.02,1006.52
2400000,Vector_Initialized,9.31,1014.42,32.1,32.37,0.02,1022.02

2450000,ArrayList,18.03,1040.0,31.22,30.4,0.01,1043.28
