ID,NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
274,2800000,Vector_Initialized,8.78,1040.05,30.99,30.69,0.02,1077.07
275,2850000,ArrayList,24.72,1057.04,30.4,32.74,0.01,1032.44
276,2850000,ArrayList_Initialized,20.05,1119.8,37.17,35.9,0.01,1132.74
277,2850000,LinkedList,25.58,76.06,107.59,105.46,72.62,0.06
278,2850000,Vector,27.76,1128.63,33.16,33.13,0.02,1054.85
279,2850000,Vector_Initialized,28.21,1031.62,31.04,31.01,0.02,1032.74
280,2900000,ArrayList,27.23,1026.98,29.81,28.76,0.01,1011.43
281,2900000,ArrayList_Initialized,20.06,1028.45,30.66,31.78,0.01,1042.68
282,2900000,LinkedList,23.12,71.19,101.8,101.74,71.27,0.06
283,2900000,Vector,28.39,1067.05,32.95,32.11,0.02,1103.86
284,2900000,Vector_Initialized,23.4,1023.69,31.2,31.84,0.02,1037.15
285,2950000,ArrayList,12.56,1036.01,29.33,30.5,0.01,1026.36
286,2950000,ArrayList_Initialized,9.47,1032,34.09,31.83,0.01,1010.88
287,2950000,LinkedList,8.68,72.1,101.9,98.97,68.07,0.06
288,2950000,Vector,11.81,1043.04,32.03,33,0.03,1063.76
289,2950000,Vector_Initialized,13.23,1019.51,31.04,30.95,0.02,1026.62
290,3000000,ArrayList,15.17,1039.66,31.63,31.72,0.01,1021.08
291,3000000,ArrayList_Initialized,13.4,1037.82,31.4,31.38,0.01,1021.7
292,3000000,LinkedList,12.24,69,95.6,96.51,89.09,0.05
293,3000000,Vector,15.26,1072.74,37.76,38.49,0.02,1090.39
294,3000000,Vector_Initialized,15.17,1090.1,31.44,31.79,0.02,1023.45
295,3050000,ArrayList,13.79,1008.77,31.44,31.24,0.01,1036
296,3050000,ArrayList_Initialized,11.16,1017.66,30.89,29.92,0.01,1038.72
297,3050000,LinkedList,11.18,68.49,99.8,95.49,62.17,0.04
298,3050000,Vector,13.15,1054.19,33.7,34.45,0.02,1037.51
299,3050000,Vector_Initialized,13.07,1032.36,31.26,33.26,0.02,1055.22
300,3100000,ArrayList,15.08,1038.05,30.66,29.47,0.01,1070.41
301,3100000,ArrayList_Initialized,14.24,1032.97,32.42,31.37,0.01,1040.48
302,3100000,LinkedList,13.65,66.26,94.71,95.4,62.03,0.05
303,3100000,Vector,16.85,1038.75,33.66,33.36,0.02,1045.56
304,3100000,Vector_Initialized,19.66,1011.67,30.68,28.74,0.02,1046.13
305,3150000,ArrayList,23.57,1053.4,31.73,31.5,0.01,1058.32
306,3150000,ArrayList_Initialized,18.36,1111.53,33.25,32.51,0.01,1036.59
307,3150000,LinkedList,15.66,68.95,96.32,96.5,63.1,0.05
308,3150000,Vector,24.8,1075.48,34.94,33.28,0.02,1042.67
309,3150000,Vector_Initialized,17.4,1021.2,32.44,30.56,0.02,1038.66
310,3200000,ArrayList,28.29,1059.74,30.78,34.69,0.01,1038.02
311,3200000,ArrayList_Initialized,18.49,1002.62,31.6,31.21,0.01,1039.59
312,3200000,LinkedList,19.49,64.24,97.51,96.72,62.75,0.05
313,3200000,Vector,27.42,1025.03,32.44,31.83,0.02,1062.67
314,3200000,Vector_Initialized,20.59,1029.1,31.95,32.26,0.02,1037.11
315,3250000,ArrayList,16.09,1062.18,30.4,31,0.01,1044.52
316,3250000,ArrayList_Initialized,14.54,1037.47,31.31,33.72,0.01,1040.94
317,3250000,LinkedList,12.52,65.78,99.11,97.84,62.71,0.03
318,3250000,Vector,19.48,1039.85,31,31.79,0.03,1034.76
319,3250000,Vector_Initialized,15.44,999.78,31.81,32,0.02,1074.24
320,3300000,ArrayList,16.63,1037.54,34.07,32.39,0.01,1073.02
321,3300000,ArrayList_Initialized,16.25,1085.45,31.02,30.96,0.01,1058.85
322,3300000,LinkedList,16.06,70.76,97.56,97.18,65.39,0.05
323,3300000,Vector,22.75,999.84,31.83,31.57,0.02,1041.54
324,3300000,Vector_Initialized,17.99,1084.4,32.5,31.85,0.02,1040.59
325,3350000,ArrayList,24.49,1045.56,34.22,30.79,0.01,1034.68
326,3350000,ArrayList_Initialized,16.56,1034.5,29.84,32.72,0.01,1033.42
327,3350000,LinkedList,16.2,69.53,116.51,99.44,65.14,0.06
328,3350000,Vector,19.98,1016.62,31.01,29.65,0.02,1036.3
329,3350000,Vector_Initialized,19.46,1075,37.25,34.1,0.03,1090.72
330,3400000,ArrayList,20.77,1049.2,35.45,34.47,0.01,1043.16
331,3400000,ArrayList_Initialized,22.71,1031.77,36.81,35.82,0.01,1043.58
332,3400000,LinkedList,185.46,86.97,113.21,101.75,67.66,0.05
333,3400000,Vector,9.08,1014.1,29.56,29.67,0.05,1028.79
334,3400000,Vector_Initialized,9.51,1033.39,31.4,31.51,0.02,1043.42
335,3450000,ArrayList,27.34,1002.83,31.16,32.36,0.01,1047.3
336,3450000,ArrayList_Initialized,13.5,1131.39,30.5,29.78,0.01,1027.27
337,3450000,LinkedList,6.59,69.07,96.36,95.12,63.87,0.05
338,3450000,Vector,10.22,1028.38,32.35,32.49,0.02,1019
339,3450000,Vector_Initialized,8.87,1053.65,31.21,29.52,0.02,1037.03
340,3500000,ArrayList,11.23,1038.39,29.77,29.54,0.01,1013.84
341,3500000,ArrayList_Initialized,9.76,1092.42,32.4,31.28,0.01,1070.72
342,3500000,LinkedList,8.75,69.94,98.12,95.29,62.53,0.04
343,3500000,Vector,11.84,1018.78,30.76,32.18,0.02,1019.96
344,3500000,Vector_Initialized,12.03,1032.08,34.09,32.08,0.02,1051.08
345,3550000,ArrayList,14.35,1049.9,32.58,32.29,0.01,1019.93
346,3550000,ArrayList_Initialized,8.87,1067.68,34.09,31.04,0.01,1080.43
347,3550000,LinkedList,8.26,71.27,98.86,95.85,63.41,0.08
348,3550000,Vector,11.38,1001.39,32.87,30.77,0.02,1030.95
349,3550000,Vector_Initialized,9.65,1043.24,33.08,33.14,0.02,1025.56
350,3600000,ArrayList,13.46,1018.07,31.8,28.8,0.01,1019.04
351,3600000,ArrayList_Initialized,10.73,1083.17,32.59,32.6,0.01,1037.14
352,3600000,LinkedList,7,64.38,124.84,102.81,63.67,0.04
353,3600000,Vector,14.47,1024.7,30.62,30.9,0.02,1049.79
354,3600000,Vector_Initialized,11.68,1044.37,31.81,32.03,0.02,1030.18
355,3650000,ArrayList,21.2,1202.8,30.54,30.71,0.01,1049.59
356,3650000,ArrayList_Initialized,15.06,1050.97,30,29.76,0.01,1036.97
357,3650000,LinkedList,7.16,66.71,98.18,97.93,93.26,0.15
358,3650000,Vector,13.46,1177.81,33.93,32.43,0.02,1186.17
359,3650000,Vector_Initialized,9.69,1027.39,30.55,32.97,0.02,1117.21
360,3700000,ArrayList,10.61,1057.74,30.06,29.54,0.01,1023.24
361,3700000,ArrayList_Initialized,8.91,1023.97,29.87,30.65,0.01,1028.46
362,3700000,LinkedList,8.76,69.78,98.81,95.28,62.35,0.05
363,3700000,Vector,10.94,998.65,31.79,32.12,0.02,1012.87
364,3700000,Vector_Initialized,9.29,1202.02,33.61,33.31,0.02,1061.71
