NumberOfIntegers,DataStructure,put(),replace(),containsKey(),containsValue(),get(),remove()
680000,HashMap_Initialized,40.97,2.73,1.72,35044.38,1.4,1.02
680000,LinkedHashMap,123.56,4.87,9.62,25543.44,1.05,3.02
680000,LinkedHashMap_Initialized,55.57,1.87,0.73,25043.77,0.69,1.45
680000,TreeMap,808.36,10.16,10.8,283816.28,10.82,9.58
,,,,,,,
690000,HashMap,71.26,2.31,0.73,35645.18,0.64,0.66
690000,HashMap_Initialized,49.03,2.39,0.87,35460.11,0.61,0.67
690000,LinkedHashMap,67.13,1.7,0.6,25175.99,0.72,1.4
690000,LinkedHashMap_Initialized,73.51,2.67,0.83,25130.81,1.53,1.98
690000,TreeMap,785.08,10.25,11.5,291282.76,8.73,10.09
,,,,,,,
700000,HashMap,103.87,3.26,2.21,50601.71,2.67,2.1
700000,HashMap_Initialized,60.79,2.66,2.12,46181.03,2.73,1.81
700000,LinkedHashMap,121.84,3.35,2.49,32914.74,3.92,2.91
700000,LinkedHashMap_Initialized,118.82,2.79,1.97,33694.52,2.69,2.03
700000,TreeMap,1214.4,11.73,12.73,295174.08,11.5,13.27
,,,,,,,
710000,HashMap,109.96,2.7,2.16,40823.21,2.75,1.92
710000,HashMap_Initialized,48.95,2.19,1.19,37071.67,1.47,1.16
710000,LinkedHashMap,102.88,2.82,2.21,25664.58,2.47,1.92
710000,LinkedHashMap_Initialized,92.85,2.14,1.29,25560.08,1.43,1.49
710000,TreeMap,729.84,7.96,7.7,208142.24,8.4,8.56
,,,,,,,
720000,HashMap,76.65,2.94,1.92,41567.94,1.52,1.17
720000,HashMap_Initialized,60.39,1.76,1.06,39196.17,1.53,1.04
720000,LinkedHashMap,79.73,2.27,1.34,30006.69,1.54,1.64
720000,LinkedHashMap_Initialized,70.43,1.75,1.08,29063.29,0.98,1.51
720000,TreeMap,812.35,9.58,9.28,296333.27,10.14,10.42
,,,,,,,
730000,HashMap,66.57,1.33,0.59,35893.95,0.85,1.06
730000,HashMap_Initialized,55.49,0.94,0.58,35646.45,0.77,0.81
730000,LinkedHashMap,80.57,1.34,0.56,24111.6,0.77,1.5
730000,LinkedHashMap_Initialized,62.78,1.64,0.62,24086.56,0.96,1.72
730000,TreeMap,783.5,8.65,7.73,296737.81,10.3,10.16
,,,,,,,
740000,HashMap,69.35,1.7,0.84,35350.3,0.66,0.72
740000,HashMap_Initialized,47.75,0.91,0.55,35083.68,0.66,0.66
740000,LinkedHashMap,71.06,1.53,0.56,25813.31,0.68,1.16
740000,LinkedHashMap_Initialized,62.43,1.56,0.74,26023.68,0.7,1.31
740000,TreeMap,771.03,8.75,8.36,309788.56,10.19,9.42
,,,,,,,
750000,HashMap,70.11,1.69,0.55,36896.02,0.66,0.77
750000,HashMap_Initialized,50.17,1.38,0.56,36290.05,0.67,0.71
750000,LinkedHashMap,73.77,1.58,0.62,27776,0.85,1.55
750000,LinkedHashMap_Initialized,63.89,1.78,0.68,27689.3,0.71,1.4
750000,TreeMap,918.24,11.47,9.68,350620.83,10.53,10.78
,,,,,,,
760000,HashMap,78.19,1.04,0.61,44610.88,0.78,0.9
760000,HashMap_Initialized,55.89,1.38,0.82,43968.7,0.74,0.73
760000,LinkedHashMap,82.5,1.9,0.73,32649.52,0.87,2.21
760000,LinkedHashMap_Initialized,64.74,1.78,0.65,32035.95,0.75,1.46
760000,TreeMap,898.28,9.94,9.17,372224.65,10.23,10.35
,,,,,,,
770000,HashMap,90.86,2.16,0.74,45492.32,0.76,0.8
770000,HashMap_Initialized,76.37,4.8,1.07,44943.31,0.96,3.55
770000,LinkedHashMap,101.67,2.42,0.87,33506.67,1.11,2.69
770000,LinkedHashMap_Initialized,94.29,2.24,0.85,33179.62,0.81,1.44
770000,TreeMap,954.97,10.12,10.38,3192977.24,9.85,12.29
,,,,,,,
780000,HashMap,71.61,2.28,0.7,43994.06,0.71,0.75
780000,HashMap_Initialized,73.39,2.29,0.93,44543.1,1.05,1.64
780000,LinkedHashMap,108.59,5.03,1.04,34310.46,1.35,6.26
780000,LinkedHashMap_Initialized,88.18,2.27,0.91,31839.1,0.76,1.47
780000,TreeMap,889.91,9.3,9.18,358610.15,9.99,11.04
,,,,,,,
790000,HashMap,131.76,2.75,1.08,68158.17,0.7,0.78
790000,HashMap_Initialized,92.96,1.74,0.62,60379.27,0.76,0.85
790000,LinkedHashMap,135.45,2.56,1.23,40751.41,0.83,1.52
790000,LinkedHashMap_Initialized,115.32,2.04,0.69,40030.57,0.82,1.77
790000,TreeMap,963.47,10.93,10.1,390982.19,11.06,10.57
