NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
425000,19.06,147.35,4.45,4.49,0.0,147.05,3.03,144.85,4.48,4.52,0.0,147.48,20.44,10.39,14.83,15.11,9.95,0.02,3.49,145.27,4.58,4.66,0.01,148.19,3.64,143.89,4.47,4.48,0.01,146.34
450000,8.1,167.33,5.03,5.09,0.0,170.14,7.52,164.87,4.88,4.86,0.0,167.29,7.99,11.07,16.06,16.03,10.88,0.02,9.25,167.94,5.17,5.22,0.01,171.02,8.76,166.82,5.13,5.17,0.01,169.34
475000,25.59,190.13,5.6,5.64,0.0,192.01,3.4,191.51,5.71,5.76,0.0,193.65,23.42,12.62,18.29,18.55,12.29,0.01,3.8,187.2,5.59,5.57,0.01,188.81,3.67,187.52,5.55,5.52,0.01,188.25
500000,5.44,208.76,6.12,6.14,0.0,210.65,4.94,212.74,6.09,6.13,0.0,212.26,2.73,13.68,19.8,19.75,13.44,0.02,4.01,214.72,6.53,6.59,0.01,216.93,3.81,215.28,6.52,6.56,0.01,217.23
525000,6.47,237.78,7.03,7.1,0.0,239.88,5.52,238.89,7.1,7.2,0.0,240.87,20.87,16.46,22.68,23.05,15.21,0.02,4.54,239.92,7.3,7.44,0.01,241.58,3.97,239.67,7.41,7.49,0.01,240.08
550000,7.42,263.62,7.88,7.97,0.0,266.07,6.55,263.52,7.85,7.97,0.0,265.97,17.74,17.22,24.95,25.16,16.54,0.03,15.45,263.91,7.9,8.02,0.01,263.06,4.28,263.12,8.02,8.22,0.01,265.42
575000,7.08,287.49,8.44,8.44,0.0,289.46,6.16,281.4,8.13,8.06,0.0,283.65,20.98,18.43,26.58,26.7,18.07,0.03,4.74,285.06,8.72,8.85,0.01,287.7,4.47,288.86,8.85,9.04,0.01,290.57
600000,5.68,315.4,9.46,9.57,0.0,317.97,4.99,315.07,9.42,9.53,0.0,317.9,3.84,20.23,29.91,30.25,19.77,0.02,5.73,314.63,9.73,9.87,0.01,317.18,5.39,314.08,9.62,9.71,0.01,315.28
625000,7.46,341.04,10.33,10.35,0.0,343.98,6.54,338.59,10.16,10.23,0.0,341.85,26.8,21.83,32.21,32.0,21.25,0.03,6.73,348.3,10.3,10.39,0.01,359.34,5.4,354.49,12.03,10.79,0.01,350.97
650000,7.22,379.95,11.22,11.24,0.0,383.25,6.52,386.05,11.19,11.38,0.0,383.05,6.1,24.89,35.56,36.95,23.86,0.03,19.99,406.9,11.83,12.09,0.01,387.2,5.13,384.92,12.05,12.67,0.01,387.24
675000,7.59,417.9,12.44,13.94,0.0,418.4,6.73,414.65,12.37,12.55,0.0,415.49,6.35,25.83,39.35,38.68,26.94,0.03,24.32,415.68,13.02,13.37,0.02,420.2,5.27,410.39,12.51,13.84,0.02,414.36
700000,8.64,444.18,13.38,13.44,0.0,442.03,8.25,442.62,13.25,13.37,0.0,446.95,35.94,29.9,42.08,44.42,29.03,0.03,17.74,446.03,13.51,14.92,0.01,442.93,6.22,447.07,14.2,14.58,0.02,446.32
725000,26.02,476.78,14.31,14.48,0.0,480.16,5.37,477.94,14.81,17.04,0.0,480.35,23.48,30.6,44.89,45.06,29.94,0.03,7.25,478.05,14.87,15.54,0.02,481.21,6.66,479.8,14.74,15.5,0.02,484.32
750000,7.18,511.61,15.48,15.63,0.0,515.63,6.88,511.57,16.21,15.37,0.0,513.83,14.85,33.17,49.21,48.89,33.56,0.03,6.86,514.07,15.95,16.52,0.02,519.87,6.62,509.35,15.61,15.85,0.02,518.28
775000,11.66,546.92,16.75,18.12,0.0,556.82,10.85,547.23,16.81,18.27,0.0,557.86,49.47,37.29,53.13,53.75,34.58,0.04,8.33,549.04,19.06,17.13,0.02,546.21,6.88,550.93,17.31,17.64,0.02,555.48
800000,19.28,592.42,20.12,17.61,0.0,593.78,6.68,586.2,17.51,18.25,0.0,584.9,4.84,37.25,55.61,55.06,37.11,0.04,7.57,587.26,18.57,18.86,0.02,592.23,6.83,591.09,19.03,18.73,0.02,591.27
825000,14.53,626.87,19.19,20.59,0.0,631.37,11.33,626.05,19.51,20.33,0.0,629.38,38.55,41.6,60.72,61.32,38.69,0.04,17.91,640.49,19.6,19.91,0.02,635.7,6.67,625.78,20.69,19.96,0.02,632.87
850000,9.08,664.58,20.74,22.77,0.0,673.35,8.28,674.48,20.13,20.18,0.0,674.33,50.93,45.85,64.85,62.99,41.52,0.04,8.3,672.26,21.19,22.78,0.02,671.4,7.61,670.75,20.3,20.57,0.02,669.41
875000,20.99,707.38,21.73,21.84,0.01,709.34,6.71,702.64,21.77,22.71,0.01,708.47,22.75,44.91,67.54,67.85,46.22,0.04,8.52,713.05,23.83,22.44,0.02,707.56,6.89,689.55,21.57,21.67,0.02,697.21
